Source / Medium,date_launched,date_ended,Users,New Users,Sessions,Bounce Rate,Pageviews,Avg. Session Duration,Conversion Rate (%),Transactions,Quantity Sold,Revenue,Month,WeekDayName,Year
Organic,2019-08-17,2/17/2020,74169,57687,95895,64.95,125923,251,12.37,336,210,20580,August,Saturday,2019
Paid Search,2020-01-07,8/15/2020,54518,41852,70488,48.45,97544,130,8.25,363,330,18150,January,Tuesday,2020
Direct,2020-12-30,,142598,103708,188690,56.7,272552,242,12.37,817,743,144142,December,Wednesday,2020
Affiliates,2020-12-28,,135522,102668,171114,41.24,226424,233,2.06,1005,782,107134,December,Monday,2020
Paid Search,2019-03-11,9/3/2019,143779,95853,198967,46.39,257250,138,2.06,1067,776,325144,March,Monday,2019
Display,2020-04-25,10/23/2020,126746,96020,168995,65.98,244104,207,11.34,575,499,156187,April,Saturday,2020
Social,2020-11-22,,65295,48147,82443,57.73,108258,207,9.28,348,316,30968,November,Sunday,2020
Affiliates,2020-09-16,3/13/2021,85685,65778,116843,44.33,166413,190,7.22,650,394,157600,September,Wednesday,2020
Social,2020-12-31,,118537,81419,152063,57.73,213503,233,10.31,643,487,123698,December,Thursday,2020
Affiliates,2019-02-17,8/4/2019,9685,6652,13989,47.42,17945,207,9.28,74,50,20300,February,Sunday,2019
Affiliates,2020-04-18,10/26/2020,120551,92544,150993,49.48,201324,190,9.28,763,524,30392,April,Saturday,2020
Display,2019-12-07,6/11/2020,66620,45759,86135,63.92,120067,207,12.37,311,195,77805,December,Saturday,2019
Direct,2020-08-27,4/2/2021,698,414,1693,87.71,1988,65,0.0,0,0,0,August,Thursday,2020
Referral,2019-06-16,1/3/2020,45630,33646,58996,67.01,78065,199,11.34,195,124,49352,June,Sunday,2019
Paid Search,2019-05-29,11/17/2019,47265,32465,59201,48.45,83719,164,6.19,305,194,79540,May,Wednesday,2019
Organic,2020-04-07,10/12/2020,18459,13052,26663,67.01,36359,138,5.15,88,59,23600,April,Tuesday,2020
Email,2020-06-18,12/16/2020,178661,135349,247238,58.76,317164,251,5.15,1020,680,100640,June,Thursday,2020
Paid Search,2020-02-09,9/5/2020,87864,63014,110052,57.73,148959,69,5.15,465,343,134799,February,Sunday,2020
Display,2020-08-03,2/1/2021,29401,20492,41280,52.58,57125,147,8.25,196,174,34800,August,Monday,2020
Organic,2019-10-22,5/8/2020,90514,60343,126171,52.58,156758,268,3.09,598,538,216276,October,Tuesday,2019
Affiliates,2020-08-02,3/13/2021,22963,17164,28530,51.55,38616,147,12.37,138,92,33212,August,Sunday,2020
Email,2019-05-02,11/2/2019,182579,123564,230529,62.89,319015,259,6.19,855,708,232932,May,Thursday,2019
Direct,2019-01-20,8/31/2019,196134,132737,277361,60.82,347402,69,6.19,1087,900,279000,January,Sunday,2019
Referral,2019-12-14,7/24/2020,72363,53359,103062,70.1,139498,121,4.12,308,280,14280,December,Saturday,2019
Email,2019-03-20,9/16/2019,137555,104208,186186,61.86,265174,251,12.37,710,502,96886,March,Wednesday,2019
Direct,2019-05-16,11/3/2019,18253,14012,23415,69.07,30983,233,9.28,72,51,13413,May,Thursday,2019
Organic,2020-11-04,5/25/2021,58857,39833,79071,51.55,96642,95,10.31,383,333,147186,November,Wednesday,2020
Organic,2019-10-20,4/21/2020,44663,29775,54588,61.86,78849,216,5.15,208,149,9238,October,Sunday,2019
Organic,2020-06-07,12/19/2020,69164,46808,96410,62.89,127573,268,4.12,358,307,62628,June,Sunday,2020
Social,2020-06-04,11/18/2020,38987,27173,55921,41.24,79645,173,11.34,329,203,49532,June,Thursday,2020
Social,2019-09-10,3/15/2020,65579,43719,84789,53.61,111339,190,8.25,393,333,146853,September,Tuesday,2019
Paid Search,2019-07-15,2/12/2020,81014,59738,107200,71.13,151596,60,9.28,309,259,52318,July,Monday,2019
Email,2020-06-21,12/21/2020,153933,105732,192805,43.3,257073,216,1.03,1093,839,73832,June,Sunday,2020
Affiliates,2020-06-15,11/29/2020,79777,56408,99923,70.1,126165,121,3.09,299,248,82088,June,Monday,2020
Affiliates,2019-07-05,2/10/2020,47616,35592,65412,41.24,83252,130,1.03,384,318,111300,July,Friday,2019
Social,2019-07-30,2/23/2020,64369,46814,82574,74.23,119274,78,9.28,213,136,46512,July,Tuesday,2019
Social,2020-03-22,9/14/2020,158597,123353,193841,56.7,236917,164,9.28,839,593,240758,March,Sunday,2020
Display,2020-07-23,1/24/2021,80273,59191,99733,52.58,144059,104,2.06,473,311,63755,July,Thursday,2020
Affiliates,2020-09-15,3/7/2021,175032,130832,222768,43.3,303775,190,8.25,1263,1059,315582,September,Tuesday,2020
Affiliates,2020-11-09,4/29/2021,109379,72919,156887,43.3,204429,242,8.25,890,692,271956,November,Monday,2020
Social,2020-06-18,12/20/2020,30749,22674,40377,62.89,57914,164,9.28,150,109,11445,June,Thursday,2020
Display,2019-10-31,4/14/2020,199997,155553,246461,52.58,301230,147,7.22,1169,956,363280,October,Thursday,2019
Display,2019-12-27,7/7/2020,81314,58316,110061,54.64,137854,233,11.34,499,348,21228,December,Friday,2019
Affiliates,2020-04-11,9/23/2020,99015,66010,121018,73.2,151578,199,3.09,324,229,60456,April,Saturday,2020
Affiliates,2020-11-21,,114281,84268,151220,48.45,213846,86,3.09,780,504,173376,November,Saturday,2020
Direct,2020-05-07,11/25/2020,50281,38092,69073,59.79,85818,251,6.19,278,168,30576,May,Thursday,2020
Referral,2020-12-30,,88308,66900,114176,49.48,160308,233,8.25,577,420,73080,December,Wednesday,2020
Email,2019-06-26,12/30/2019,176117,124527,227707,70.1,317410,181,7.22,681,433,142024,June,Wednesday,2019
Organic,2019-05-24,11/25/2019,6311,4781,8670,41.24,12173,156,11.34,51,32,4672,May,Friday,2019
Display,2019-03-19,10/28/2019,174099,121342,244442,56.7,306170,225,4.12,1058,908,74456,March,Tuesday,2019
Direct,2020-04-02,10/18/2020,44990,34083,54988,59.79,77761,268,5.15,221,183,81435,April,Thursday,2020
Email,2019-12-25,7/23/2020,24846,19325,30869,58.76,41782,130,5.15,127,80,13680,December,Wednesday,2019
Referral,2019-01-09,8/2/2019,147840,98560,186667,61.86,233805,138,6.19,712,590,252520,January,Wednesday,2019
Referral,2019-07-19,1/6/2020,156788,121946,221720,47.42,309064,216,5.15,1166,707,188062,July,Friday,2019
Social,2020-04-27,12/8/2020,156160,111994,200326,60.82,250913,156,12.37,785,492,23616,April,Monday,2020
Direct,2020-03-31,10/1/2020,155022,104914,205130,43.3,296299,207,8.25,1163,987,259581,March,Tuesday,2020
Organic,2019-01-07,7/31/2019,122300,86475,176656,46.39,223051,112,1.03,947,727,114139,January,Monday,2019
Affiliates,2019-04-11,11/3/2019,4567,3460,6228,74.23,8870,181,5.15,16,11,2453,April,Thursday,2019
Paid Search,2020-10-25,4/22/2021,188322,135059,247292,67.01,332221,121,10.31,816,684,123120,October,Sunday,2020
Email,2020-07-27,2/17/2021,177622,129180,233241,73.2,327480,251,12.37,625,562,174782,July,Monday,2020
Organic,2019-01-24,8/31/2019,87509,66295,121098,73.2,152902,156,1.03,325,204,19176,January,Thursday,2019
Social,2020-03-09,10/10/2020,62632,48081,86040,47.42,120804,147,2.06,452,324,103032,March,Monday,2020
Direct,2020-08-07,1/25/2021,119049,88986,163542,69.07,201537,78,11.34,506,450,140850,August,Friday,2020
Social,2020-08-26,2/26/2021,20122,13415,25813,51.55,37025,138,2.06,125,77,9163,August,Wednesday,2020
Direct,2019-06-26,1/21/2020,100106,72804,125385,55.67,157048,52,12.37,556,365,31755,June,Wednesday,2019
Paid Search,2020-12-25,,141626,108723,187404,68.04,244193,86,4.12,599,514,229244,December,Friday,2020
Referral,2020-01-13,6/28/2020,3874,2700,5478,62.89,7415,95,8.25,20,16,4768,January,Monday,2020
Organic,2020-02-01,8/1/2020,8971,5981,10965,51.55,14842,216,10.31,53,37,9213,February,Saturday,2020
Organic,2020-05-28,12/9/2020,70305,54682,91610,60.82,112893,190,9.28,359,268,110148,May,Thursday,2020
Display,2020-04-11,11/12/2020,98911,74933,126886,47.42,156365,164,7.22,667,458,73280,April,Saturday,2020
Email,2019-11-14,6/17/2020,108647,79016,144863,71.13,181445,164,3.09,418,258,20640,November,Thursday,2019
Email,2019-02-25,9/2/2019,23832,15888,33702,57.73,47659,86,9.28,142,116,32016,February,Monday,2019
Referral,2019-01-29,8/29/2019,25811,20075,35458,71.13,44412,190,3.09,102,76,29640,January,Tuesday,2019
Social,2020-11-02,4/28/2021,11492,8010,16019,54.64,21359,216,7.22,73,62,15252,November,Monday,2020
Referral,2019-01-26,7/13/2019,112933,75289,143733,72.16,185837,259,4.12,400,263,47603,January,Saturday,2019
Email,2019-05-18,11/14/2019,157637,119422,216552,54.64,284361,156,1.03,982,655,296715,May,Saturday,2019
Display,2020-05-16,11/9/2020,142313,100625,179688,57.73,245029,259,2.06,760,668,295924,May,Saturday,2020
Email,2019-01-29,8/15/2019,89571,61524,114904,71.13,160169,112,3.09,332,205,73800,January,Tuesday,2019
Social,2020-01-20,7/4/2020,187455,142011,232899,43.3,324647,86,6.19,1321,1161,208980,January,Monday,2020
Referral,2020-08-25,2/24/2021,28306,19157,34882,58.76,44043,164,3.09,144,127,31115,August,Tuesday,2020
Organic,2020-01-28,7/21/2020,125489,86194,154643,73.2,209315,216,6.19,414,314,61858,January,Tuesday,2020
Email,2020-02-19,8/30/2020,2016,20,5357,79.65,9440,59,0.09,5,6,620,February,Wednesday,2020
Paid Search,2020-07-02,1/10/2021,146684,97789,197060,43.3,278671,216,5.15,1117,948,105228,July,Thursday,2020
Email,2020-01-28,7/12/2020,139383,105593,201331,65.98,282677,173,2.06,685,609,80997,January,Tuesday,2020
Display,2019-01-07,7/1/2019,160124,114836,229673,70.1,317830,130,9.28,687,458,148850,January,Monday,2019
Referral,2019-05-20,12/5/2019,95673,73446,129497,64.95,172663,52,4.12,454,353,22239,May,Monday,2019
Organic,2020-03-18,9/8/2020,176079,129836,254336,48.45,367374,268,3.09,1311,1020,440640,March,Wednesday,2020
Display,2019-09-23,4/27/2020,8920,6938,10992,64.95,15100,60,5.15,39,31,4278,September,Monday,2019
Display,2020-11-19,,121061,88044,161415,47.42,202176,164,11.34,849,643,252699,November,Thursday,2020
Social,2020-02-28,8/22/2020,99035,77027,142050,62.89,198009,69,10.31,527,319,27434,February,Friday,2020
Email,2019-02-08,8/18/2019,173503,133194,248863,42.27,351927,86,11.34,1437,871,282204,February,Friday,2019
Social,2020-05-17,11/29/2020,86112,63497,115686,57.73,149574,147,8.25,489,440,48840,May,Sunday,2020
Referral,2019-02-11,8/7/2019,69653,48546,97092,43.3,134360,173,5.15,551,406,171738,February,Monday,2019
Organic,2020-10-31,,157031,109446,210961,55.67,302591,277,4.12,935,708,310104,October,Saturday,2020
Social,2019-11-23,5/6/2020,71620,49194,87536,51.55,114062,78,5.15,424,300,98700,November,Saturday,2019
Organic,2019-08-15,3/7/2020,161281,110779,198750,54.64,269015,173,12.37,902,601,63105,August,Thursday,2019
Direct,2020-12-02,,120324,81431,168940,55.67,225253,268,3.09,749,620,85560,December,Wednesday,2020
Affiliates,2020-10-28,5/2/2021,116060,82063,151230,68.04,190947,181,7.22,483,356,39872,October,Wednesday,2020
Display,2020-11-24,,85755,66698,121270,51.55,162918,156,12.37,588,463,48152,November,Tuesday,2020
Direct,2020-01-24,8/11/2020,95430,74223,129168,70.1,173529,78,11.34,386,300,21600,January,Friday,2020
Organic,2020-05-29,11/22/2020,184828,132553,229635,73.2,292263,242,6.19,615,385,163240,May,Friday,2020
Organic,2020-08-04,2/5/2021,6810,4815,9011,45.36,11924,78,11.34,49,41,3526,August,Tuesday,2020
Social,2019-09-17,4/12/2020,196376,148770,269769,43.3,329718,242,5.15,1530,1236,140904,September,Tuesday,2019
Referral,2019-04-05,11/3/2019,163552,127207,223025,55.67,272586,277,4.12,989,659,258987,April,Friday,2019
Email,2019-08-04,1/27/2020,155450,120906,197845,69.07,243809,242,4.12,612,457,183714,August,Sunday,2019
Direct,2020-10-07,4/1/2021,150333,116926,200444,56.7,281431,147,6.19,868,675,160650,October,Wednesday,2020
Affiliates,2020-12-28,,72310,54050,92761,41.24,123681,52,9.28,545,347,127696,December,Monday,2020
Direct,2019-05-25,11/10/2019,143497,98564,186981,47.42,270084,242,6.19,983,814,245828,May,Saturday,2019
Display,2020-01-03,6/18/2020,80492,56100,107323,46.39,144181,251,7.22,575,511,93513,January,Friday,2020
Referral,2020-03-23,9/20/2020,82892,64472,110523,56.7,157412,69,3.09,479,353,34594,March,Monday,2020
Paid Search,2020-08-11,3/12/2021,166482,110988,211886,57.73,293216,242,8.25,896,597,219696,August,Tuesday,2020
Email,2019-11-22,5/12/2020,182807,138490,258515,64.95,352520,251,9.28,906,760,200640,November,Friday,2019
Display,2020-01-04,7/4/2020,25944,17296,36164,44.33,47123,190,5.15,201,169,38532,January,Saturday,2020
Email,2020-12-03,,31069,24165,38601,61.86,49518,86,10.31,147,132,58740,December,Thursday,2020
Email,2019-03-25,9/7/2019,9405,6745,12825,65.98,16323,78,5.15,44,30,2370,March,Monday,2019
Direct,2020-10-04,3/24/2021,95940,74620,135673,45.36,193231,251,11.34,741,501,74148,October,Sunday,2020
Email,2020-05-31,11/29/2020,2962,2154,3830,65.98,5377,277,5.15,13,11,748,May,Sunday,2020
Paid Search,2019-06-18,12/9/2019,53896,38653,71861,52.58,93637,268,11.34,341,272,15232,June,Tuesday,2019
Display,2020-03-03,10/11/2020,156690,117122,221582,62.89,299919,242,11.34,822,631,244197,March,Tuesday,2020
Affiliates,2020-09-09,3/8/2021,50216,38042,71013,59.79,91097,60,3.09,286,234,64818,September,Wednesday,2020
Referral,2020-02-19,9/30/2020,87,16,146,31.51,1013,297,8.9,13,21,2590,February,Wednesday,2020
Display,2019-04-24,11/6/2019,111972,74648,148165,62.89,193063,268,10.31,550,389,116700,April,Wednesday,2019
Referral,2019-05-11,10/29/2019,81743,57798,104037,60.82,137665,104,9.28,408,251,101153,May,Saturday,2019
Social,2020-05-18,12/27/2020,162936,111916,209019,69.07,259690,259,8.25,646,463,112046,May,Monday,2020
Affiliates,2020-08-22,2/11/2021,83054,62081,103188,46.39,135499,268,4.12,553,480,92160,August,Saturday,2020
Paid Search,2019-06-18,12/28/2019,167555,125243,240331,73.2,318014,52,12.37,644,475,108775,June,Tuesday,2019
Display,2019-09-24,3/22/2020,63009,49007,85285,70.1,107683,138,7.22,255,175,23450,September,Tuesday,2019
Email,2020-02-20,9/7/2020,35548,27289,46320,60.82,58017,251,1.03,181,137,36442,February,Thursday,2020
Organic,2019-09-24,3/21/2020,71585,53508,96893,61.86,123318,130,12.37,370,284,30104,September,Tuesday,2019
Affiliates,2020-08-28,3/2/2021,116842,77895,154609,49.48,195213,78,8.25,781,584,263384,August,Friday,2020
Referral,2019-12-19,6/21/2020,3476,2633,4600,69.07,5994,147,12.37,14,10,3280,December,Thursday,2019
Affiliates,2019-08-15,2/24/2020,43156,31822,61465,72.16,88783,95,4.12,171,119,37961,August,Thursday,2019
Organic,2019-09-07,3/2/2020,109035,77095,142076,48.45,175084,104,3.09,732,569,83074,September,Saturday,2019
Social,2019-02-14,8/28/2019,57161,43881,74483,45.36,103072,207,11.34,407,325,60775,February,Thursday,2019
Display,2019-07-04,2/9/2020,132694,101866,167543,67.01,231852,233,11.34,553,335,142040,July,Thursday,2019
Direct,2019-06-25,1/2/2020,10963,8084,15392,46.39,20834,259,5.15,83,64,4544,June,Tuesday,2019
Affiliates,2020-10-22,5/1/2021,101117,68433,130737,54.64,169034,156,6.19,593,407,85470,October,Thursday,2020
Organic,2020-12-07,,70056,53780,94116,56.7,130241,199,1.03,408,326,59658,December,Monday,2020
Display,2019-09-11,4/10/2020,140046,101852,178240,70.1,248456,207,7.22,533,377,98020,September,Wednesday,2019
Organic,2020-03-03,10/5/2020,134628,96551,184944,49.48,257801,95,6.19,934,632,271128,March,Tuesday,2020
Social,2019-07-24,3/5/2020,198795,154618,263052,67.01,334793,233,3.09,868,526,213556,July,Wednesday,2019
Organic,2020-08-17,3/26/2021,92222,63344,113647,49.48,148085,277,7.22,574,522,204102,August,Monday,2020
Affiliates,2019-12-04,5/30/2020,150596,111046,196231,63.92,281463,199,6.19,708,451,57277,December,Wednesday,2019
Direct,2020-08-15,2/4/2021,12803,9311,18235,54.64,22656,78,4.12,83,52,18148,August,Saturday,2020
Affiliates,2019-09-06,3/29/2020,163277,117098,206158,59.79,274877,225,8.25,829,536,70752,September,Friday,2019
Direct,2020-11-12,5/27/2021,63160,45935,89955,48.45,127209,121,7.22,464,314,103620,November,Thursday,2020
Referral,2019-11-24,6/22/2020,99037,68025,125047,42.27,178097,173,9.28,722,503,135810,November,Sunday,2019
Affiliates,2019-08-26,2/19/2020,47054,35172,58936,52.58,83939,268,12.37,279,180,47880,August,Monday,2019
Affiliates,2020-11-29,,49379,36910,61350,50.52,83659,95,6.19,304,252,64008,November,Sunday,2020
Social,2019-04-10,10/10/2019,70194,54595,95010,44.33,120922,207,10.31,529,369,139113,April,Wednesday,2019
Organic,2019-11-09,5/10/2020,181870,137780,235145,61.86,292150,86,7.22,897,716,236996,November,Saturday,2019
Paid Search,2020-01-06,7/20/2020,123,71,147,70.75,335,55,0.0,0,0,0,January,Monday,2020
Affiliates,2020-05-13,11/15/2020,119755,90723,169351,49.48,210406,60,3.09,856,623,88466,May,Wednesday,2020
Paid Search,2019-04-30,10/14/2019,142701,96575,198917,46.39,247139,268,11.34,1066,904,363408,April,Tuesday,2019
Email,2019-11-19,5/16/2020,617,533,802,43.14,4003,202,0.0,0,0,0,November,Tuesday,2019
Email,2019-09-21,4/19/2020,155538,113119,197957,65.98,257944,181,6.19,673,564,143820,September,Saturday,2019
Email,2019-08-21,2/8/2020,114619,87990,165561,49.48,205697,190,8.25,836,650,287950,August,Wednesday,2019
Organic,2020-05-04,12/2/2020,137583,93112,183444,50.52,246445,95,3.09,908,651,228501,May,Monday,2020
Paid Search,2019-04-22,10/27/2019,43931,31506,58575,68.04,84608,112,1.03,187,170,30090,April,Monday,2019
Referral,2019-12-13,6/21/2020,50851,38010,70883,64.95,92363,207,5.15,248,220,72600,December,Friday,2019
Organic,2020-03-18,10/16/2020,173050,115367,232481,74.23,335806,181,4.12,599,448,122752,March,Wednesday,2020
Affiliates,2019-06-18,11/30/2019,144583,105151,185475,48.45,230439,69,12.37,956,859,389127,June,Tuesday,2019
Display,2020-07-11,2/14/2021,143731,105983,188738,51.55,230680,130,9.28,914,757,320968,July,Saturday,2020
Organic,2019-05-31,11/29/2019,97469,68917,134881,73.2,182566,268,10.31,361,295,97055,May,Friday,2019
Direct,2019-09-25,4/3/2020,186436,145006,231633,69.07,332241,69,1.03,716,448,188160,September,Wednesday,2019
Email,2020-06-27,1/12/2021,179420,137737,246476,57.73,348552,242,4.12,1042,853,129656,June,Saturday,2020
Organic,2019-04-20,10/4/2019,152885,101923,194581,43.3,277131,233,12.37,1103,713,211761,April,Saturday,2019
Social,2019-05-21,12/13/2019,114860,77734,161268,71.13,223169,69,2.06,466,334,38744,May,Tuesday,2019
Referral,2020-12-07,,10665,7218,13574,58.76,17550,86,4.12,56,44,11880,December,Monday,2020
Paid Search,2020-04-12,11/18/2020,88506,65262,125160,64.95,165616,207,2.06,439,270,85590,April,Sunday,2020
Display,2019-10-10,4/29/2020,319,237,530,6.98,2883,288,42.08,223,353,52544,October,Thursday,2019
Email,2020-09-04,3/17/2021,88771,68147,125535,64.95,155968,112,11.34,440,360,122760,September,Friday,2020
Referral,2019-07-03,12/23/2019,190593,144389,246423,68.04,308651,259,4.12,788,605,65945,July,Wednesday,2019
Organic,2020-04-28,10/13/2020,71,53,100,42.27,137,86,9.28,1,1,379,April,Tuesday,2020
Display,2020-09-19,3/30/2021,106476,74211,137666,46.39,184945,251,7.22,738,514,135696,September,Saturday,2020
Organic,2019-06-15,11/29/2019,99695,71498,124871,71.13,160188,268,7.22,361,292,68036,June,Saturday,2019
Social,2019-05-12,10/31/2019,28210,19662,38468,68.04,51291,130,4.12,123,84,15036,May,Sunday,2019
Direct,2020-06-21,12/15/2020,101943,75170,132835,73.2,174430,190,2.06,356,288,96480,June,Sunday,2020
Organic,2019-12-07,6/14/2020,44169,30784,56215,49.48,69843,190,6.19,284,198,76428,December,Saturday,2019
Affiliates,2020-10-28,4/14/2021,40547,31537,51196,59.79,72916,233,7.22,206,158,36498,October,Wednesday,2020
Email,2020-05-01,11/26/2020,139177,102625,195410,54.64,268442,138,7.22,886,635,80645,May,Friday,2020
Display,2020-12-16,,122062,81375,155352,49.48,199290,190,10.31,785,634,205416,December,Wednesday,2020
Email,2019-12-06,7/2/2020,15175,11803,19927,41.24,26569,164,1.03,117,84,21924,December,Friday,2019
Direct,2019-03-15,9/22/2019,89936,63591,119006,56.7,169493,164,12.37,515,463,106953,March,Friday,2019
Referral,2019-02-11,8/18/2019,185114,127149,237469,61.86,292639,190,6.19,906,577,188679,February,Monday,2019
Email,2019-02-20,9/3/2019,68245,52390,88236,63.92,114974,86,9.28,318,260,85800,February,Wednesday,2019
Display,2019-02-18,9/11/2019,102486,73500,126296,70.1,174773,181,1.03,378,286,102674,February,Monday,2019
Affiliates,2020-01-29,8/10/2020,25217,17066,33113,44.33,40471,130,10.31,184,123,44403,January,Wednesday,2020
Email,2020-11-08,,173704,135103,236869,53.61,289507,216,4.12,1099,899,152830,November,Sunday,2020
Referral,2019-02-07,9/12/2019,17976,12892,25784,56.7,32035,259,3.09,112,72,28872,February,Thursday,2019
Paid Search,2020-03-11,10/7/2020,123904,86357,165205,48.45,203586,156,10.31,852,680,96560,March,Wednesday,2020
Paid Search,2020-10-22,4/12/2021,101444,74802,137308,69.07,195560,86,2.06,425,313,81693,October,Thursday,2020
Paid Search,2020-04-27,11/25/2020,111956,85946,136835,46.39,192122,173,6.19,734,519,174384,April,Monday,2020
Email,2019-06-02,12/1/2019,28104,21575,37472,73.2,54126,121,10.31,100,73,17666,June,Sunday,2019
Referral,2020-07-05,1/27/2021,35295,27095,47773,60.82,66110,242,5.15,187,166,8964,July,Sunday,2020
Display,2019-12-08,6/19/2020,160373,118255,217071,56.7,265309,251,10.31,940,608,183616,December,Sunday,2019
Direct,2020-03-19,10/19/2020,137203,102556,181551,47.42,253071,190,4.12,955,733,304928,March,Thursday,2020
Direct,2020-10-06,5/10/2021,58855,41615,77284,43.3,105387,225,3.09,438,385,138215,October,Tuesday,2020
Direct,2020-11-10,5/2/2021,21062,15318,29785,45.36,37306,156,1.03,163,142,49984,November,Tuesday,2020
Referral,2020-08-16,2/17/2021,99666,75505,141949,58.76,203604,112,6.19,585,396,149688,August,Sunday,2020
Direct,2020-05-19,11/21/2020,125907,96656,169148,46.39,232365,225,6.19,907,696,264480,May,Tuesday,2020
Paid Search,2020-10-25,5/22/2021,199729,133153,280428,41.24,359741,268,12.37,1648,1348,461016,October,Sunday,2020
Affiliates,2019-06-15,1/26/2020,183447,124151,237184,57.73,316245,147,12.37,1003,831,133791,June,Saturday,2019
Social,2019-01-26,7/11/2019,138988,95467,196549,71.13,283904,78,1.03,567,504,135072,January,Saturday,2019
Paid Search,2019-02-22,9/21/2019,198315,146232,274436,55.67,377003,251,3.09,1217,910,385840,February,Friday,2019
Direct,2019-07-11,2/2/2020,142095,96165,192331,51.55,242842,277,2.06,932,734,35232,July,Thursday,2019
Display,2020-07-12,1/31/2021,3039,2364,4021,55.67,4955,259,11.34,18,13,3978,July,Sunday,2020
Referral,2020-02-02,8/18/2020,96216,65116,119541,49.48,161803,78,5.15,604,397,181032,February,Sunday,2020
Organic,2020-05-23,11/30/2020,154259,105956,188539,54.64,243768,156,6.19,855,630,143640,May,Saturday,2020
Organic,2019-10-05,5/11/2020,86599,64731,112841,70.1,145895,242,1.03,337,218,69324,October,Saturday,2019
Direct,2019-08-11,2/2/2020,50725,36891,71732,70.1,94918,259,6.19,214,173,33562,August,Sunday,2019
Social,2020-02-17,8/30/2020,109890,78810,144300,59.79,182197,104,2.06,580,393,71133,February,Monday,2020
Display,2019-06-14,12/8/2019,133284,100973,169634,51.55,221038,112,4.12,822,515,95790,June,Friday,2019
Affiliates,2019-06-16,1/21/2020,58648,39099,83529,52.58,106310,199,8.25,396,256,51968,June,Sunday,2019
Organic,2019-08-27,2/12/2020,160593,115173,225479,52.58,307471,164,1.03,1069,961,245055,August,Tuesday,2019
Social,2020-04-08,9/24/2020,81798,62794,116500,49.48,144742,181,3.09,589,488,99552,April,Wednesday,2020
